instance_id,feature_id,feature_name,receiver_name,member_name,usage_offset,usage_mode,usage_count,script_id,script_url,origin_url
3290,3,Window.domAutomationController,Window,domAutomationController,143675,g,2,3380,https://www.booking.com/__challenge_h78IRKX3kpQxScCExxShBNwRUlb/d8c14d4960ca/a18a4859af9c/challenge.js,?
3290,9,Window.webdriver,Window,webdriver,143675,g,2,3380,https://www.booking.com/__challenge_h78IRKX3kpQxScCExxShBNwRUlb/d8c14d4960ca/a18a4859af9c/challenge.js,?
3290,19,Window.setTimeout,Window,setTimeout,925515,c,6,3380,https://www.booking.com/__challenge_h78IRKX3kpQxScCExxShBNwRUlb/d8c14d4960ca/a18a4859af9c/challenge.js,?
3290,19,Window.setTimeout,Window,setTimeout,1227970,c,1,3380,https://www.booking.com/__challenge_h78IRKX3kpQxScCExxShBNwRUlb/d8c14d4960ca/a18a4859af9c/challenge.js,?
3290,19,Window.setTimeout,Window,setTimeout,1228293,c,42,3380,https://www.booking.com/__challenge_h78IRKX3kpQxScCExxShBNwRUlb/d8c14d4960ca/a18a4859af9c/challenge.js,?
3290,46,HTMLDocument.cookie,HTMLDocument,cookie,887141,g,2,3380,https://www.booking.com/__challenge_h78IRKX3kpQxScCExxShBNwRUlb/d8c14d4960ca/a18a4859af9c/challenge.js,?
3290,46,HTMLDocument.cookie,HTMLDocument,cookie,915405,s,6,3380,https://www.booking.com/__challenge_h78IRKX3kpQxScCExxShBNwRUlb/d8c14d4960ca/a18a4859af9c/challenge.js,?
3290,46,HTMLDocument.cookie,HTMLDocument,cookie,915510,s,6,3380,https://www.booking.com/__challenge_h78IRKX3kpQxScCExxShBNwRUlb/d8c14d4960ca/a18a4859af9c/challenge.js,?
3290,46,HTMLDocument.cookie,HTMLDocument,cookie,915598,s,3,3380,https://www.booking.com/__challenge_h78IRKX3kpQxScCExxShBNwRUlb/d8c14d4960ca/a18a4859af9c/challenge.js,?
3290,46,HTMLDocument.cookie,HTMLDocument,cookie,916401,s,3,3380,https://www.booking.com/__challenge_h78IRKX3kpQxScCExxShBNwRUlb/d8c14d4960ca/a18a4859af9c/challenge.js,?
3290,48,Screen.colorDepth,Screen,colorDepth,39027,g,4,3380,https://www.booking.com/__challenge_h78IRKX3kpQxScCExxShBNwRUlb/d8c14d4960ca/a18a4859af9c/challenge.js,?
3290,59,HTMLDocument.querySelector,HTMLDocument,querySelector,1305692,g,1,3380,https://www.booking.com/__challenge_h78IRKX3kpQxScCExxShBNwRUlb/d8c14d4960ca/a18a4859af9c/challenge.js,?
3290,59,HTMLDocument.querySelector,HTMLDocument,querySelector,1305709,c,1,3380,https://www.booking.com/__challenge_h78IRKX3kpQxScCExxShBNwRUlb/d8c14d4960ca/a18a4859af9c/challenge.js,?
3290,65,Location.href,Location,href,140634,g,2,3380,https://www.booking.com/__challenge_h78IRKX3kpQxScCExxShBNwRUlb/d8c14d4960ca/a18a4859af9c/challenge.js,?
3290,65,Location.href,Location,href,337392,g,1,3380,https://www.booking.com/__challenge_h78IRKX3kpQxScCExxShBNwRUlb/d8c14d4960ca/a18a4859af9c/challenge.js,?
3290,66,HTMLDocument.addEventListener,HTMLDocument,addEventListener,18040,g,9,3380,https://www.booking.com/__challenge_h78IRKX3kpQxScCExxShBNwRUlb/d8c14d4960ca/a18a4859af9c/challenge.js,?
3290,66,HTMLDocument.addEventListener,HTMLDocument,addEventListener,18077,g,9,3380,https://www.booking.com/__challenge_h78IRKX3kpQxScCExxShBNwRUlb/d8c14d4960ca/a18a4859af9c/challenge.js,?
