instance_id,feature_id,feature_name,receiver_name,member_name,usage_offset,usage_mode,usage_count,script_id,script_url,origin_url
77,398,DOMTokenList.remove,DOMTokenList,remove,15,c,1,106,https://www.cnn.com/,?
77,398,DOMTokenList.remove,DOMTokenList,remove,15,g,1,106,https://www.cnn.com/,?
77,814,HTMLImageElement.classList,HTMLImageElement,classList,5,g,1,106,https://www.cnn.com/,?
78,398,DOMTokenList.remove,DOMTokenList,remove,15,c,1,106,https://www.cnn.com/,?
78,398,DOMTokenList.remove,DOMTokenList,remove,15,g,1,106,https://www.cnn.com/,?
78,814,HTMLImageElement.classList,HTMLImageElement,classList,5,g,1,106,https://www.cnn.com/,?
79,398,DOMTokenList.remove,DOMTokenList,remove,15,c,1,106,https://www.cnn.com/,?
79,398,DOMTokenList.remove,DOMTokenList,remove,15,g,1,106,https://www.cnn.com/,?
79,814,HTMLImageElement.classList,HTMLImageElement,classList,5,g,1,106,https://www.cnn.com/,?
80,398,DOMTokenList.remove,DOMTokenList,remove,15,c,1,106,https://www.cnn.com/,?
80,398,DOMTokenList.remove,DOMTokenList,remove,15,g,1,106,https://www.cnn.com/,?
80,814,HTMLImageElement.classList,HTMLImageElement,classList,5,g,1,106,https://www.cnn.com/,?
81,398,DOMTokenList.remove,DOMTokenList,remove,15,c,1,106,https://www.cnn.com/,?
81,398,DOMTokenList.remove,DOMTokenList,remove,15,g,1,106,https://www.cnn.com/,?
81,814,HTMLImageElement.classList,HTMLImageElement,classList,5,g,1,106,https://www.cnn.com/,?
83,59,HTMLDocument.querySelector,HTMLDocument,querySelector,156,c,1,91,https://www.cnn.com/,?
83,59,HTMLDocument.querySelector,HTMLDocument,querySelector,156,g,1,91,https://www.cnn.com/,?
83,239,Location.pathname,Location,pathname,1354,g,1,91,https://www.cnn.com/,?
83,259,Window.location,Window,location,96,g,1,91,https://www.cnn.com/,?
83,259,Window.location,Window,location,1345,g,1,91,https://www.cnn.com/,?
83,596,HTMLLinkElement.getAttribute,HTMLLinkElement,getAttribute,188,g,1,91,https://www.cnn.com/,?
83,596,HTMLLinkElement.getAttribute,HTMLLinkElement,getAttribute,203,c,1,91,https://www.cnn.com/,?
83,1039,URL.,URL,,270,n,1,91,https://www.cnn.com/,?
83,1433,Window.CNN,Window,CNN,691,g,1,91,https://www.cnn.com/,?
83,1433,Window.CNN,Window,CNN,773,g,1,91,https://www.cnn.com/,?
83,1433,Window.CNN,Window,CNN,800,g,1,91,https://www.cnn.com/,?
83,1433,Window.CNN,Window,CNN,927,g,1,91,https://www.cnn.com/,?
83,1433,Window.CNN,Window,CNN,1149,g,1,91,https://www.cnn.com/,?
83,1433,Window.CNN,Window,CNN,1621,g,1,91,https://www.cnn.com/,?
