instance_id,feature_id,feature_name,receiver_name,member_name,usage_offset,usage_mode,usage_count,script_id,script_url,origin_url
783,82,HTMLDocument.createElement,HTMLDocument,createElement,4221,g,1,776,https://www.hulu.com/static/hitch/_next/static/chunks/930-3d3fc5bbfe24b3cf9bcb.js,?
783,83,HTMLScriptElement.src,HTMLScriptElement,src,4242,s,1,776,https://www.hulu.com/static/hitch/_next/static/chunks/930-3d3fc5bbfe24b3cf9bcb.js,?
783,234,HTMLDocument.getElementsByTagName,HTMLDocument,getElementsByTagName,4284,c,1,776,https://www.hulu.com/static/hitch/_next/static/chunks/930-3d3fc5bbfe24b3cf9bcb.js,?
783,234,HTMLDocument.getElementsByTagName,HTMLDocument,getElementsByTagName,4284,g,1,776,https://www.hulu.com/static/hitch/_next/static/chunks/930-3d3fc5bbfe24b3cf9bcb.js,?
783,258,Window.Buffer,Window,Buffer,7260,g,1,776,https://www.hulu.com/static/hitch/_next/static/chunks/930-3d3fc5bbfe24b3cf9bcb.js,?
783,736,HTMLScriptElement.parentNode,HTMLScriptElement,parentNode,4312,g,1,776,https://www.hulu.com/static/hitch/_next/static/chunks/930-3d3fc5bbfe24b3cf9bcb.js,?
783,1012,HTMLScriptElement.async,HTMLScriptElement,async,4275,s,1,776,https://www.hulu.com/static/hitch/_next/static/chunks/930-3d3fc5bbfe24b3cf9bcb.js,?
783,1725,HTMLScriptElement.type,HTMLScriptElement,type,4251,s,1,776,https://www.hulu.com/static/hitch/_next/static/chunks/930-3d3fc5bbfe24b3cf9bcb.js,?
783,7155,HTMLHeadElement.insertBefore,HTMLHeadElement,insertBefore,4323,c,1,776,https://www.hulu.com/static/hitch/_next/static/chunks/930-3d3fc5bbfe24b3cf9bcb.js,?
783,7155,HTMLHeadElement.insertBefore,HTMLHeadElement,insertBefore,4323,g,1,776,https://www.hulu.com/static/hitch/_next/static/chunks/930-3d3fc5bbfe24b3cf9bcb.js,?
783,10061,Window.utag,Window,utag,3557,g,1,776,https://www.hulu.com/static/hitch/_next/static/chunks/930-3d3fc5bbfe24b3cf9bcb.js,?
783,10061,Window.utag,Window,utag,3570,g,1,776,https://www.hulu.com/static/hitch/_next/static/chunks/930-3d3fc5bbfe24b3cf9bcb.js,?
783,10061,Window.utag,Window,utag,3588,g,1,776,https://www.hulu.com/static/hitch/_next/static/chunks/930-3d3fc5bbfe24b3cf9bcb.js,?
783,10061,Window.utag,Window,utag,3903,g,1,776,https://www.hulu.com/static/hitch/_next/static/chunks/930-3d3fc5bbfe24b3cf9bcb.js,?
783,10061,Window.utag,Window,utag,3919,s,1,776,https://www.hulu.com/static/hitch/_next/static/chunks/930-3d3fc5bbfe24b3cf9bcb.js,?
783,18782,Window.webpackChunk_N_E,Window,webpackChunk_N_E,22,s,1,776,https://www.hulu.com/static/hitch/_next/static/chunks/930-3d3fc5bbfe24b3cf9bcb.js,?
783,18782,Window.webpackChunk_N_E,Window,webpackChunk_N_E,28,g,1,776,https://www.hulu.com/static/hitch/_next/static/chunks/930-3d3fc5bbfe24b3cf9bcb.js,?
784,82,HTMLDocument.createElement,HTMLDocument,createElement,21721,g,1,755,https://www.hulu.com/static/hitch/_next/static/chunks/603-0ea21961354d69728f02.js,?
784,115,Navigator.userAgent,Navigator,userAgent,18070,g,17,755,https://www.hulu.com/static/hitch/_next/static/chunks/603-0ea21961354d69728f02.js,?
784,155,Window.performance,Window,performance,37681,g,1,755,https://www.hulu.com/static/hitch/_next/static/chunks/603-0ea21961354d69728f02.js,?
784,155,Window.performance,Window,performance,38899,g,1,755,https://www.hulu.com/static/hitch/_next/static/chunks/603-0ea21961354d69728f02.js,?
784,155,Window.performance,Window,performance,38919,g,1,755,https://www.hulu.com/static/hitch/_next/static/chunks/603-0ea21961354d69728f02.js,?
784,234,HTMLDocument.getElementsByTagName,HTMLDocument,getElementsByTagName,16942,c,1,755,https://www.hulu.com/static/hitch/_next/static/chunks/603-0ea21961354d69728f02.js,?
784,234,HTMLDocument.getElementsByTagName,HTMLDocument,getElementsByTagName,16942,g,1,755,https://www.hulu.com/static/hitch/_next/static/chunks/603-0ea21961354d69728f02.js,?
784,234,HTMLDocument.getElementsByTagName,HTMLDocument,getElementsByTagName,17016,c,1,755,https://www.hulu.com/static/hitch/_next/static/chunks/603-0ea21961354d69728f02.js,?
784,234,HTMLDocument.getElementsByTagName,HTMLDocument,getElementsByTagName,17016,g,1,755,https://www.hulu.com/static/hitch/_next/static/chunks/603-0ea21961354d69728f02.js,?
784,239,Location.pathname,Location,pathname,28838,g,6,755,https://www.hulu.com/static/hitch/_next/static/chunks/603-0ea21961354d69728f02.js,?
784,242,HTMLHtmlElement.className,HTMLHtmlElement,className,16973,g,1,755,https://www.hulu.com/static/hitch/_next/static/chunks/603-0ea21961354d69728f02.js,?
784,242,HTMLHtmlElement.className,HTMLHtmlElement,className,17057,s,1,755,https://www.hulu.com/static/hitch/_next/static/chunks/603-0ea21961354d69728f02.js,?
784,259,Window.location,Window,location,28829,g,6,755,https://www.hulu.com/static/hitch/_next/static/chunks/603-0ea21961354d69728f02.js,?
784,259,Window.location,Window,location,29015,g,6,755,https://www.hulu.com/static/hitch/_next/static/chunks/603-0ea21961354d69728f02.js,?
784,259,Window.location,Window,location,29228,g,5,755,https://www.hulu.com/static/hitch/_next/static/chunks/603-0ea21961354d69728f02.js,?
784,378,Location.protocol,Location,protocol,29237,g,5,755,https://www.hulu.com/static/hitch/_next/static/chunks/603-0ea21961354d69728f02.js,?
784,432,Window.window,Window,window,18015,g,43,755,https://www.hulu.com/static/hitch/_next/static/chunks/603-0ea21961354d69728f02.js,?
784,523,HTMLScriptElement.setAttribute,HTMLScriptElement,setAttribute,21754,c,1,755,https://www.hulu.com/static/hitch/_next/static/chunks/603-0ea21961354d69728f02.js,?
784,523,HTMLScriptElement.setAttribute,HTMLScriptElement,setAttribute,21754,g,1,755,https://www.hulu.com/static/hitch/_next/static/chunks/603-0ea21961354d69728f02.js,?
784,523,HTMLScriptElement.setAttribute,HTMLScriptElement,setAttribute,21787,c,1,755,https://www.hulu.com/static/hitch/_next/static/chunks/603-0ea21961354d69728f02.js,?
784,523,HTMLScriptElement.setAttribute,HTMLScriptElement,setAttribute,21787,g,1,755,https://www.hulu.com/static/hitch/_next/static/chunks/603-0ea21961354d69728f02.js,?
784,523,HTMLScriptElement.setAttribute,HTMLScriptElement,setAttribute,21811,c,1,755,https://www.hulu.com/static/hitch/_next/static/chunks/603-0ea21961354d69728f02.js,?
784,523,HTMLScriptElement.setAttribute,HTMLScriptElement,setAttribute,21811,g,1,755,https://www.hulu.com/static/hitch/_next/static/chunks/603-0ea21961354d69728f02.js,?
784,523,HTMLScriptElement.setAttribute,HTMLScriptElement,setAttribute,21853,c,1,755,https://www.hulu.com/static/hitch/_next/static/chunks/603-0ea21961354d69728f02.js,?
784,523,HTMLScriptElement.setAttribute,HTMLScriptElement,setAttribute,21853,g,1,755,https://www.hulu.com/static/hitch/_next/static/chunks/603-0ea21961354d69728f02.js,?
784,523,HTMLScriptElement.setAttribute,HTMLScriptElement,setAttribute,21892,c,1,755,https://www.hulu.com/static/hitch/_next/static/chunks/603-0ea21961354d69728f02.js,?
784,523,HTMLScriptElement.setAttribute,HTMLScriptElement,setAttribute,21892,g,1,755,https://www.hulu.com/static/hitch/_next/static/chunks/603-0ea21961354d69728f02.js,?
784,523,HTMLScriptElement.setAttribute,HTMLScriptElement,setAttribute,21940,c,1,755,https://www.hulu.com/static/hitch/_next/static/chunks/603-0ea21961354d69728f02.js,?
784,523,HTMLScriptElement.setAttribute,HTMLScriptElement,setAttribute,21940,g,1,755,https://www.hulu.com/static/hitch/_next/static/chunks/603-0ea21961354d69728f02.js,?
784,523,HTMLScriptElement.setAttribute,HTMLScriptElement,setAttribute,21981,c,1,755,https://www.hulu.com/static/hitch/_next/static/chunks/603-0ea21961354d69728f02.js,?
784,523,HTMLScriptElement.setAttribute,HTMLScriptElement,setAttribute,21981,g,1,755,https://www.hulu.com/static/hitch/_next/static/chunks/603-0ea21961354d69728f02.js,?
784,672,Performance.get timing,Performance,get timing,38931,c,1,755,https://www.hulu.com/static/hitch/_next/static/chunks/603-0ea21961354d69728f02.js,?
784,849,Performance.timing,Performance,timing,38931,g,1,755,https://www.hulu.com/static/hitch/_next/static/chunks/603-0ea21961354d69728f02.js,?
784,977,Window.navigator,Window,navigator,18060,g,17,755,https://www.hulu.com/static/hitch/_next/static/chunks/603-0ea21961354d69728f02.js,?
784,999,PerformanceTiming.fetchStart,PerformanceTiming,fetchStart,38964,g,1,755,https://www.hulu.com/static/hitch/_next/static/chunks/603-0ea21961354d69728f02.js,?
784,1478,Location.hostname,Location,hostname,29024,g,6,755,https://www.hulu.com/static/hitch/_next/static/chunks/603-0ea21961354d69728f02.js,?
784,3395,PerformanceTiming.domComplete,PerformanceTiming,domComplete,38945,g,1,755,https://www.hulu.com/static/hitch/_next/static/chunks/603-0ea21961354d69728f02.js,?
784,18782,Window.webpackChunk_N_E,Window,webpackChunk_N_E,22,s,1,755,https://www.hulu.com/static/hitch/_next/static/chunks/603-0ea21961354d69728f02.js,?
784,18782,Window.webpackChunk_N_E,Window,webpackChunk_N_E,28,g,1,755,https://www.hulu.com/static/hitch/_next/static/chunks/603-0ea21961354d69728f02.js,?
785,59,HTMLDocument.querySelector,HTMLDocument,querySelector,32839,c,1,743,https://www.hulu.com/static/hitch/_next/static/chunks/521-71597cd1c6b6d9c26a37.js,?
785,59,HTMLDocument.querySelector,HTMLDocument,querySelector,32839,g,1,743,https://www.hulu.com/static/hitch/_next/static/chunks/521-71597cd1c6b6d9c26a37.js,?
785,82,HTMLDocument.createElement,HTMLDocument,createElement,32474,g,1,743,https://www.hulu.com/static/hitch/_next/static/chunks/521-71597cd1c6b6d9c26a37.js,?
785,178,HTMLDocument.body,HTMLDocument,body,32572,g,1,743,https://www.hulu.com/static/hitch/_next/static/chunks/521-71597cd1c6b6d9c26a37.js,?
785,205,HTMLDocument.head,HTMLDocument,head,32923,g,1,743,https://www.hulu.com/static/hitch/_next/static/chunks/521-71597cd1c6b6d9c26a37.js,?
785,239,Location.pathname,Location,pathname,32425,g,1,743,https://www.hulu.com/static/hitch/_next/static/chunks/521-71597cd1c6b6d9c26a37.js,?
785,259,Window.location,Window,location,32416,g,1,743,https://www.hulu.com/static/hitch/_next/static/chunks/521-71597cd1c6b6d9c26a37.js,?
785,432,Window.window,Window,window,25657,g,1,743,https://www.hulu.com/static/hitch/_next/static/chunks/521-71597cd1c6b6d9c26a37.js,?
785,567,Storage.removeItem,Storage,removeItem,5931,c,1,743,https://www.hulu.com/static/hitch/_next/static/chunks/521-71597cd1c6b6d9c26a37.js,?
