instance_id,feature_id,feature_name,receiver_name,member_name,usage_offset,usage_mode,usage_count,script_id,script_url,origin_url
195,19,Window.setTimeout,Window,setTimeout,72,g,1,214,,?
195,65,Location.href,Location,href,72,g,1,214,,?
195,127,Window.screen,Window,screen,56,g,1,214,,?
195,127,Window.screen,Window,screen,72,g,1,214,,?
195,156,Screen.width,Screen,width,88,g,1,214,,?
195,178,HTMLDocument.body,HTMLDocument,body,72,g,2,214,,?
195,178,HTMLDocument.body,HTMLDocument,body,88,g,1,214,,?
195,237,Navigator.plugins,Navigator,plugins,88,g,1,214,,?
195,259,Window.location,Window,location,56,g,1,214,,?
195,400,Window.Object,Window,Object,72,g,1,214,,?
195,594,StyleSheetList.length,StyleSheetList,length,88,g,1,214,,?
195,762,HTMLDocument.styleSheets,HTMLDocument,styleSheets,72,g,1,214,,?
195,977,Window.navigator,Window,navigator,72,g,5,214,,?
195,1093,Window.document,Window,document,56,g,3,214,,?
195,1093,Window.document,Window,document,72,g,1,214,,?
195,1680,HTMLDocument.currentScript,HTMLDocument,currentScript,56,g,1,214,,?
195,1792,HTMLIFrameElement.contentWindow,HTMLIFrameElement,contentWindow,56,g,3,214,,?
195,2346,Window.WebGLRenderingContext,Window,WebGLRenderingContext,56,g,2,214,,?
195,2387,HTMLScriptElement.innerText,HTMLScriptElement,innerText,72,g,1,214,,?
195,2624,Navigator.v,Navigator,v,88,g,1,214,,?
195,2688,HTMLBodyElement.clientWidth,HTMLBodyElement,clientWidth,88,g,2,214,,?
195,2727,BarProp.visible,BarProp,visible,88,g,1,214,,?
195,2731,Screen.orientation,Screen,orientation,72,g,1,214,,?
195,2734,Navigator.ln,Navigator,ln,88,g,1,214,,?
195,2864,Window.Function,Window,Function,56,g,2,214,,?
195,2864,Window.Function,Window,Function,72,g,2,214,,?
195,2889,ScreenOrientation.type,ScreenOrientation,type,88,g,1,214,,?
195,2930,Navigator.rnd,Navigator,rnd,88,g,1,214,,?
195,2988,Window.locationbar,Window,locationbar,72,g,1,214,,?
195,3057,Navigator.dateTimeString,Navigator,dateTimeString,88,g,1,214,,?
196,461,PerformanceTiming.domainLookupEnd,PerformanceTiming,domainLookupEnd,143,g,1,223,,?
196,525,NavigatorUAData.brands,NavigatorUAData,brands,143,g,6,223,,?
196,763,PerformanceTiming.domainLookupStart,PerformanceTiming,domainLookupStart,143,g,1,223,,?
196,1125,PerformanceTiming.connectEnd,PerformanceTiming,connectEnd,143,g,1,223,,?
199,306,HTMLDivElement.textContent,HTMLDivElement,textContent,60,s,4,206,,?
199,320,XMLHttpRequest.onreadystatechange,XMLHttpRequest,onreadystatechange,60,s,1,206,,?
199,850,CSSStyleDeclaration.display,CSSStyleDeclaration,display,60,s,1,206,,?
199,1659,CSSStyleDeclaration.margin,CSSStyleDeclaration,margin,60,s,11,206,,?
199,2509,CanvasRenderingContext2D.globalCompositeOperation,CanvasRenderingContext2D,globalCompositeOperation,60,s,6,206,,?
199,2603,CanvasRenderingContext2D.lineCap,CanvasRenderingContext2D,lineCap,60,s,6,206,,?
