instance_id,feature_id,feature_name,receiver_name,member_name,usage_offset,usage_mode,usage_count,script_id,script_url,origin_url
685,19,Window.setTimeout,Window,setTimeout,27682,c,6,662,https://ajax.googleapis.com/ajax/libs/jquery/3.7.1/jquery.min.js,?
685,19,Window.setTimeout,Window,setTimeout,27682,g,6,662,https://ajax.googleapis.com/ajax/libs/jquery/3.7.1/jquery.min.js,?
685,21,HTMLScriptElement.nodeType,HTMLScriptElement,nodeType,3337,g,7,662,https://ajax.googleapis.com/ajax/libs/jquery/3.7.1/jquery.min.js,?
685,21,HTMLScriptElement.nodeType,HTMLScriptElement,nodeType,22890,g,36,662,https://ajax.googleapis.com/ajax/libs/jquery/3.7.1/jquery.min.js,?
685,21,HTMLScriptElement.nodeType,HTMLScriptElement,nodeType,63797,g,30,662,https://ajax.googleapis.com/ajax/libs/jquery/3.7.1/jquery.min.js,?
685,43,HTMLSpanElement.textContent,HTMLSpanElement,textContent,47663,s,2,662,https://ajax.googleapis.com/ajax/libs/jquery/3.7.1/jquery.min.js,?
685,43,HTMLSpanElement.textContent,HTMLSpanElement,textContent,48348,s,2,662,https://ajax.googleapis.com/ajax/libs/jquery/3.7.1/jquery.min.js,?
685,56,HTMLInputElement.nodeName,HTMLInputElement,nodeName,1343,g,4,662,https://ajax.googleapis.com/ajax/libs/jquery/3.7.1/jquery.min.js,?
685,56,HTMLInputElement.nodeName,HTMLInputElement,nodeName,1355,g,4,662,https://ajax.googleapis.com/ajax/libs/jquery/3.7.1/jquery.min.js,?
685,56,HTMLInputElement.nodeName,HTMLInputElement,nodeName,67712,g,2,662,https://ajax.googleapis.com/ajax/libs/jquery/3.7.1/jquery.min.js,?
685,56,HTMLInputElement.nodeName,HTMLInputElement,nodeName,67840,g,12,662,https://ajax.googleapis.com/ajax/libs/jquery/3.7.1/jquery.min.js,?
685,59,HTMLDocument.querySelector,HTMLDocument,querySelector,9098,c,1,662,https://ajax.googleapis.com/ajax/libs/jquery/3.7.1/jquery.min.js,?
