instance_id,feature_id,feature_name,receiver_name,member_name,usage_offset,usage_mode,usage_count,script_id,script_url,origin_url
4490,410,EventTarget.,XMLHttpRequest,,71,n,1,4375,blob:https://www.target.com/fa9c11ca-09b0-4bb9-8489-ad6035ccd473,?
4490,1836,DedicatedWorkerGlobalScope.postMessage,DedicatedWorkerGlobalScope,postMessage,402,c,2,4375,blob:https://www.target.com/fa9c11ca-09b0-4bb9-8489-ad6035ccd473,?
4490,1836,DedicatedWorkerGlobalScope.postMessage,DedicatedWorkerGlobalScope,postMessage,830,c,2,4375,blob:https://www.target.com/fa9c11ca-09b0-4bb9-8489-ad6035ccd473,?
4490,1836,DedicatedWorkerGlobalScope.postMessage,DedicatedWorkerGlobalScope,postMessage,1057,c,1,4375,blob:https://www.target.com/fa9c11ca-09b0-4bb9-8489-ad6035ccd473,?
4490,1836,DedicatedWorkerGlobalScope.postMessage,DedicatedWorkerGlobalScope,postMessage,1978,c,1,4375,blob:https://www.target.com/fa9c11ca-09b0-4bb9-8489-ad6035ccd473,?
4490,1836,DedicatedWorkerGlobalScope.postMessage,DedicatedWorkerGlobalScope,postMessage,2114,c,1,4375,blob:https://www.target.com/fa9c11ca-09b0-4bb9-8489-ad6035ccd473,?
4490,1836,DedicatedWorkerGlobalScope.postMessage,DedicatedWorkerGlobalScope,postMessage,2242,c,1,4375,blob:https://www.target.com/fa9c11ca-09b0-4bb9-8489-ad6035ccd473,?
4490,1873,MessageEvent.data,MessageEvent,data,184,g,8,4375,blob:https://www.target.com/fa9c11ca-09b0-4bb9-8489-ad6035ccd473,?
4490,1873,MessageEvent.data,MessageEvent,data,248,g,2,4375,blob:https://www.target.com/fa9c11ca-09b0-4bb9-8489-ad6035ccd473,?
4490,1873,MessageEvent.data,MessageEvent,data,501,g,2,4375,blob:https://www.target.com/fa9c11ca-09b0-4bb9-8489-ad6035ccd473,?
4490,1873,MessageEvent.data,MessageEvent,data,915,g,1,4375,blob:https://www.target.com/fa9c11ca-09b0-4bb9-8489-ad6035ccd473,?
4490,1873,MessageEvent.data,MessageEvent,data,1143,g,1,4375,blob:https://www.target.com/fa9c11ca-09b0-4bb9-8489-ad6035ccd473,?
4490,1873,MessageEvent.data,MessageEvent,data,2065,g,1,4375,blob:https://www.target.com/fa9c11ca-09b0-4bb9-8489-ad6035ccd473,?
4490,1899,WebGLDebugRendererInfo.UNMASKED_VENDOR_WEBGL,WebGLDebugRendererInfo,UNMASKED_VENDOR_WEBGL,790,g,1,4375,blob:https://www.target.com/fa9c11ca-09b0-4bb9-8489-ad6035ccd473,?
4490,1984,WebGLDebugRendererInfo.UNMASKED_RENDERER_WEBGL,WebGLDebugRendererInfo,UNMASKED_RENDERER_WEBGL,790,g,1,4375,blob:https://www.target.com/fa9c11ca-09b0-4bb9-8489-ad6035ccd473,?
4490,2164,WebGLRenderingContext.getExtension,WebGLRenderingContext,getExtension,675,g,2,4375,blob:https://www.target.com/fa9c11ca-09b0-4bb9-8489-ad6035ccd473,?
4490,2164,WebGLRenderingContext.getExtension,WebGLRenderingContext,getExtension,688,c,2,4375,blob:https://www.target.com/fa9c11ca-09b0-4bb9-8489-ad6035ccd473,?
4490,2213,WebGLRenderingContext.getParameter,WebGLRenderingContext,getParameter,372,g,23,4375,blob:https://www.target.com/fa9c11ca-09b0-4bb9-8489-ad6035ccd473,?
4490,2213,WebGLRenderingContext.getParameter,WebGLRenderingContext,getParameter,384,c,23,4375,blob:https://www.target.com/fa9c11ca-09b0-4bb9-8489-ad6035ccd473,?
4490,2213,WebGLRenderingContext.getParameter,WebGLRenderingContext,getParameter,773,g,3,4375,blob:https://www.target.com/fa9c11ca-09b0-4bb9-8489-ad6035ccd473,?
4490,2213,WebGLRenderingContext.getParameter,WebGLRenderingContext,getParameter,786,c,3,4375,blob:https://www.target.com/fa9c11ca-09b0-4bb9-8489-ad6035ccd473,?
4490,5043,OffscreenCanvas.getContext,OffscreenCanvas,getContext,2386,c,1,4375,blob:https://www.target.com/fa9c11ca-09b0-4bb9-8489-ad6035ccd473,?
4490,5043,OffscreenCanvas.getContext,OffscreenCanvas,getContext,2386,g,1,4375,blob:https://www.target.com/fa9c11ca-09b0-4bb9-8489-ad6035ccd473,?
4490,5129,WebGLRenderingContext.getSupportedExtensions,WebGLRenderingContext,getSupportedExtensions,2093,g,1,4375,blob:https://www.target.com/fa9c11ca-09b0-4bb9-8489-ad6035ccd473,?
4490,5129,WebGLRenderingContext.getSupportedExtensions,WebGLRenderingContext,getSupportedExtensions,2107,c,1,4375,blob:https://www.target.com/fa9c11ca-09b0-4bb9-8489-ad6035ccd473,?
4490,9959,WebGLRenderingContext.getShaderPrecisionFormat,WebGLRenderingContext,getShaderPrecisionFormat,1379,g,1,4375,blob:https://www.target.com/fa9c11ca-09b0-4bb9-8489-ad6035ccd473,?
4490,9959,WebGLRenderingContext.getShaderPrecisionFormat,WebGLRenderingContext,getShaderPrecisionFormat,1508,g,6,4375,blob:https://www.target.com/fa9c11ca-09b0-4bb9-8489-ad6035ccd473,?
4490,9959,WebGLRenderingContext.getShaderPrecisionFormat,WebGLRenderingContext,getShaderPrecisionFormat,1522,c,6,4375,blob:https://www.target.com/fa9c11ca-09b0-4bb9-8489-ad6035ccd473,?
