instance_id,feature_id,feature_name,receiver_name,member_name,usage_offset,usage_mode,usage_count,script_id,script_url,origin_url
3818,1039,URL.,URL,,507,n,7,3721,https://www.theverge.com/ad-block-service-worker.js,?
3818,2542,URL.hostname,URL,hostname,579,g,42,3721,https://www.theverge.com/ad-block-service-worker.js,?
3818,4346,ServiceWorkerGlobalScope.addEventListener,ServiceWorkerGlobalScope,addEventListener,190,c,1,3721,https://www.theverge.com/ad-block-service-worker.js,?
3818,4346,ServiceWorkerGlobalScope.addEventListener,ServiceWorkerGlobalScope,addEventListener,190,g,1,3721,https://www.theverge.com/ad-block-service-worker.js,?
3818,4346,ServiceWorkerGlobalScope.addEventListener,ServiceWorkerGlobalScope,addEventListener,313,c,1,3721,https://www.theverge.com/ad-block-service-worker.js,?
3818,4346,ServiceWorkerGlobalScope.addEventListener,ServiceWorkerGlobalScope,addEventListener,313,g,1,3721,https://www.theverge.com/ad-block-service-worker.js,?
3818,4346,ServiceWorkerGlobalScope.addEventListener,ServiceWorkerGlobalScope,addEventListener,454,c,1,3721,https://www.theverge.com/ad-block-service-worker.js,?
3818,4346,ServiceWorkerGlobalScope.addEventListener,ServiceWorkerGlobalScope,addEventListener,454,g,1,3721,https://www.theverge.com/ad-block-service-worker.js,?
3818,4347,ServiceWorkerGlobalScope.skipWaiting,ServiceWorkerGlobalScope,skipWaiting,287,c,1,3721,https://www.theverge.com/ad-block-service-worker.js,?
3818,4347,ServiceWorkerGlobalScope.skipWaiting,ServiceWorkerGlobalScope,skipWaiting,287,g,1,3721,https://www.theverge.com/ad-block-service-worker.js,?
3818,4355,ServiceWorkerGlobalScope.clients,ServiceWorkerGlobalScope,clients,426,g,1,3721,https://www.theverge.com/ad-block-service-worker.js,?
3818,4359,InstallEvent.waitUntil,InstallEvent,waitUntil,272,c,1,3721,https://www.theverge.com/ad-block-service-worker.js,?
3818,4359,InstallEvent.waitUntil,InstallEvent,waitUntil,272,g,1,3721,https://www.theverge.com/ad-block-service-worker.js,?
