instance_id,feature_id,feature_name,receiver_name,member_name,usage_offset,usage_mode,usage_count,script_id,script_url,origin_url
1984,155,Window.performance,Window,performance,7,g,1,1978,https://www.tripadvisor.com/,?
1984,331,Performance.getEntriesByType,Performance,getEntriesByType,50,g,1,1978,https://www.tripadvisor.com/,?
1984,331,Performance.getEntriesByType,Performance,getEntriesByType,84,c,1,1978,https://www.tripadvisor.com/,?
1984,331,Performance.getEntriesByType,Performance,getEntriesByType,84,g,1,1978,https://www.tripadvisor.com/,?
1984,544,Performance.mark,Performance,mark,32,g,1,1978,https://www.tripadvisor.com/,?
1985,30020,Window.$WP,Window,$WP,9,s,1,1967,https://static.tacdn.com/assets/v42v3u.g2VkMHb.js,?
1985,30020,Window.$WP,Window,$WP,15,g,1,1967,https://static.tacdn.com/assets/v42v3u.g2VkMHb.js,?
1986,30020,Window.$WP,Window,$WP,9,s,1,1943,https://static.tacdn.com/assets/eekt6e.u6AkCOt.js,?
1986,30020,Window.$WP,Window,$WP,15,g,1,1943,https://static.tacdn.com/assets/eekt6e.u6AkCOt.js,?
1987,30020,Window.$WP,Window,$WP,9,s,1,1944,https://static.tacdn.com/assets/e0avcx.jL_blDd.js,?
1987,30020,Window.$WP,Window,$WP,15,g,1,1944,https://static.tacdn.com/assets/e0avcx.jL_blDd.js,?
1988,30020,Window.$WP,Window,$WP,9,s,1,1955,https://static.tacdn.com/assets/ab7lwb.tLhr7an.js,?
1988,30020,Window.$WP,Window,$WP,15,g,1,1955,https://static.tacdn.com/assets/ab7lwb.tLhr7an.js,?
1989,30020,Window.$WP,Window,$WP,9,s,1,1950,https://static.tacdn.com/assets/nicnt2.qyVNYPI.js,?
1989,30020,Window.$WP,Window,$WP,15,g,1,1950,https://static.tacdn.com/assets/nicnt2.qyVNYPI.js,?
1991,122,Window.addEventListener,Window,addEventListener,174,c,1,1976,https://static.tacdn.com/assets/8cre3h.gxuh19I.js,?
1991,122,Window.addEventListener,Window,addEventListener,174,g,1,1976,https://static.tacdn.com/assets/8cre3h.gxuh19I.js,?
1991,122,Window.addEventListener,Window,addEventListener,286,c,1,1976,https://static.tacdn.com/assets/8cre3h.gxuh19I.js,?
1991,122,Window.addEventListener,Window,addEventListener,286,g,1,1976,https://static.tacdn.com/assets/8cre3h.gxuh19I.js,?
1991,2136,Window.requestIdleCallback,Window,requestIdleCallback,1516,g,1,1976,https://static.tacdn.com/assets/8cre3h.gxuh19I.js,?
1991,2136,Window.requestIdleCallback,Window,requestIdleCallback,1564,c,1,1976,https://static.tacdn.com/assets/8cre3h.gxuh19I.js,?
1991,2136,Window.requestIdleCallback,Window,requestIdleCallback,1564,g,1,1976,https://static.tacdn.com/assets/8cre3h.gxuh19I.js,?
1991,2149,Window.cancelIdleCallback,Window,cancelIdleCallback,1539,g,1,1976,https://static.tacdn.com/assets/8cre3h.gxuh19I.js,?
1991,7419,PromiseRejectionEvent.reason,PromiseRejectionEvent,reason,356,g,2,1976,https://static.tacdn.com/assets/8cre3h.gxuh19I.js,?
1991,30088,Window.__MONITORING_LOGS__,Window,__MONITORING_LOGS__,41,s,1,1976,https://static.tacdn.com/assets/8cre3h.gxuh19I.js,?
1991,30355,Window.__POLYFILLS_COMPLETE__,Window,__POLYFILLS_COMPLETE__,2620,s,1,1976,https://static.tacdn.com/assets/8cre3h.gxuh19I.js,?
1991,30395,Window.cancelRequestAnimationFrame,Window,cancelRequestAnimationFrame,610,g,1,1976,https://static.tacdn.com/assets/8cre3h.gxuh19I.js,?
1991,30395,Window.cancelRequestAnimationFrame,Window,cancelRequestAnimationFrame,679,g,1,1976,https://static.tacdn.com/assets/8cre3h.gxuh19I.js,?
1994,30020,Window.$WP,Window,$WP,9,s,1,1979,https://static.tacdn.com/assets/ph948p.N5zNYcz.en-US.js,?
1994,30020,Window.$WP,Window,$WP,15,g,1,1979,https://static.tacdn.com/assets/ph948p.N5zNYcz.en-US.js,?
1995,30020,Window.$WP,Window,$WP,19,s,1,1938,https://static.tacdn.com/assets/im/3b06f1307f4e937c.js,?
1995,30020,Window.$WP,Window,$WP,26,g,1,1938,https://static.tacdn.com/assets/im/3b06f1307f4e937c.js,?
1996,30020,Window.$WP,Window,$WP,9,s,1,1956,https://static.tacdn.com/assets/p3y1zq.GHM__P_.js,?
1996,30020,Window.$WP,Window,$WP,15,g,1,1956,https://static.tacdn.com/assets/p3y1zq.GHM__P_.js,?
1997,30020,Window.$WP,Window,$WP,9,s,1,1963,https://static.tacdn.com/assets/xfufl0.-vjAwhJ.js,?
1997,30020,Window.$WP,Window,$WP,15,g,1,1963,https://static.tacdn.com/assets/xfufl0.-vjAwhJ.js,?
1998,30020,Window.$WP,Window,$WP,9,s,1,1948,https://static.tacdn.com/assets/xp34yw.qrG9xu0.js,?
1998,30020,Window.$WP,Window,$WP,15,g,1,1948,https://static.tacdn.com/assets/xp34yw.qrG9xu0.js,?
1999,30020,Window.$WP,Window,$WP,9,s,1,1971,https://static.tacdn.com/assets/gcjubj.zqJOGgJ.js,?
1999,30020,Window.$WP,Window,$WP,15,g,1,1971,https://static.tacdn.com/assets/gcjubj.zqJOGgJ.js,?
2000,30020,Window.$WP,Window,$WP,9,s,1,1982,https://static.tacdn.com/assets/y9enps.BdLa8A8.js,?
2000,30020,Window.$WP,Window,$WP,15,g,1,1982,https://static.tacdn.com/assets/y9enps.BdLa8A8.js,?
2001,30020,Window.$WP,Window,$WP,9,s,1,1958,https://static.tacdn.com/assets/dcz41w.FLXQ-_1.js,?
2001,30020,Window.$WP,Window,$WP,15,g,1,1958,https://static.tacdn.com/assets/dcz41w.FLXQ-_1.js,?
2002,30020,Window.$WP,Window,$WP,9,s,1,1964,https://static.tacdn.com/assets/ympq4z.G756Bi9.js,?
2002,30020,Window.$WP,Window,$WP,15,g,1,1964,https://static.tacdn.com/assets/ympq4z.G756Bi9.js,?
2005,30020,Window.$WP,Window,$WP,9,s,1,1983,https://static.tacdn.com/assets/nflkuf.NWUrIla.en-US.js,?
2005,30020,Window.$WP,Window,$WP,15,g,1,1983,https://static.tacdn.com/assets/nflkuf.NWUrIla.en-US.js,?
2006,30020,Window.$WP,Window,$WP,9,s,1,1923,https://static.tacdn.com/assets/49c7br.zk0h2sB.en-US.js,?
2006,30020,Window.$WP,Window,$WP,15,g,1,1923,https://static.tacdn.com/assets/49c7br.zk0h2sB.en-US.js,?
2007,30020,Window.$WP,Window,$WP,9,s,1,1984,https://static.tacdn.com/assets/mxujx7.UvrWd0b.js,?
2007,30020,Window.$WP,Window,$WP,15,g,1,1984,https://static.tacdn.com/assets/mxujx7.UvrWd0b.js,?
2008,30020,Window.$WP,Window,$WP,9,s,1,1946,https://static.tacdn.com/assets/acx4g3.BWvsoSj.js,?
2008,30020,Window.$WP,Window,$WP,15,g,1,1946,https://static.tacdn.com/assets/acx4g3.BWvsoSj.js,?
2012,30020,Window.$WP,Window,$WP,9,s,1,1973,https://static.tacdn.com/assets/us1vwl.EXnWuEi.en-US.js,?
2012,30020,Window.$WP,Window,$WP,15,g,1,1973,https://static.tacdn.com/assets/us1vwl.EXnWuEi.en-US.js,?
2013,30020,Window.$WP,Window,$WP,9,s,1,1952,https://static.tacdn.com/assets/o80y56.qGwLjD9.js,?
2013,30020,Window.$WP,Window,$WP,15,g,1,1952,https://static.tacdn.com/assets/o80y56.qGwLjD9.js,?
2014,30020,Window.$WP,Window,$WP,9,s,1,1951,https://static.tacdn.com/assets/9zpurr.McmD3Ot.js,?
2014,30020,Window.$WP,Window,$WP,15,g,1,1951,https://static.tacdn.com/assets/9zpurr.McmD3Ot.js,?
2015,30020,Window.$WP,Window,$WP,9,s,1,1929,https://static.tacdn.com/assets/mf5oe4.a8E9pkW.js,?
2015,30020,Window.$WP,Window,$WP,15,g,1,1929,https://static.tacdn.com/assets/mf5oe4.a8E9pkW.js,?
2019,30020,Window.$WP,Window,$WP,9,s,1,1932,https://static.tacdn.com/assets/w7gsd9.obQjBYq.js,?
2019,30020,Window.$WP,Window,$WP,15,g,1,1932,https://static.tacdn.com/assets/w7gsd9.obQjBYq.js,?
