instance_id,feature_id,feature_name,receiver_name,member_name,usage_offset,usage_mode,usage_count,script_id,script_url,origin_url
2254,65,Location.href,Location,href,535,g,1,2223,https://www.uber.com/,?
2254,259,Window.location,Window,location,526,g,1,2223,https://www.uber.com/,?
2254,259,Window.location,Window,location,650,g,1,2223,https://www.uber.com/,?
2254,260,Location.origin,Location,origin,659,g,1,2223,https://www.uber.com/,?
2254,622,URLSearchParams.set,URLSearchParams,set,682,c,1,2223,https://www.uber.com/,?
2254,622,URLSearchParams.set,URLSearchParams,set,682,g,1,2223,https://www.uber.com/,?
2254,622,URLSearchParams.set,URLSearchParams,set,715,c,1,2223,https://www.uber.com/,?
2254,622,URLSearchParams.set,URLSearchParams,set,715,g,1,2223,https://www.uber.com/,?
2254,662,URL.searchParams,URL,searchParams,545,g,1,2223,https://www.uber.com/,?
2254,662,URL.searchParams,URL,searchParams,669,g,1,2223,https://www.uber.com/,?
2254,662,URL.searchParams,URL,searchParams,702,g,1,2223,https://www.uber.com/,?
2254,716,Response.json,Response,json,1110,c,1,2223,https://www.uber.com/,?
2254,716,Response.json,Response,json,1110,g,1,2223,https://www.uber.com/,?
2254,806,Window.fetch,Window,fetch,852,c,1,2223,https://www.uber.com/,?
2254,829,HTMLDocument.referrer,HTMLDocument,referrer,606,g,1,2223,https://www.uber.com/,?
2254,1039,URL.,URL,,511,n,1,2223,https://www.uber.com/,?
2254,1039,URL.,URL,,617,n,1,2223,https://www.uber.com/,?
2254,1348,URLSearchParams.get,URLSearchParams,get,558,c,1,2223,https://www.uber.com/,?
2254,1348,URLSearchParams.get,URLSearchParams,get,558,g,1,2223,https://www.uber.com/,?
2254,1527,Response.ok,Response,ok,1105,g,1,2223,https://www.uber.com/,?
2254,1590,URL.href,URL,href,856,g,1,2223,https://www.uber.com/,?
2254,16151,Response.type,Response,type,977,g,1,2223,https://www.uber.com/,?
2254,32030,Window.__uber_sites_bootstrap__,Window,__uber_sites_bootstrap__,851,s,1,2223,https://www.uber.com/,?
2254,32948,Window.__uber_sites_bootstrap_metadata__,Window,__uber_sites_bootstrap_metadata__,104,s,1,2223,https://www.uber.com/,?
2255,806,Window.fetch,Window,fetch,87,g,1,2228,https://www.uber.com/,?
