instance_id,feature_id,feature_name,receiver_name,member_name,usage_offset,usage_mode,usage_count,script_id,script_url,origin_url
2943,59,HTMLDocument.querySelector,HTMLDocument,querySelector,2670,c,1,111,chrome-error://chromewebdata/,?
2943,59,HTMLDocument.querySelector,HTMLDocument,querySelector,2670,g,1,111,chrome-error://chromewebdata/,?
2943,66,HTMLDocument.addEventListener,HTMLDocument,addEventListener,103489,c,1,111,chrome-error://chromewebdata/,?
2943,66,HTMLDocument.addEventListener,HTMLDocument,addEventListener,103489,g,1,111,chrome-error://chromewebdata/,?
2943,82,HTMLDocument.createElement,HTMLDocument,createElement,12742,g,9,111,chrome-error://chromewebdata/,?
2943,115,Navigator.userAgent,Navigator,userAgent,18416,g,1,111,chrome-error://chromewebdata/,?
2943,115,Navigator.userAgent,Navigator,userAgent,18516,g,1,111,chrome-error://chromewebdata/,?
2943,121,Window.top,Window,top,97188,g,1,111,chrome-error://chromewebdata/,?
2943,184,HTMLButtonElement.nodeType,HTMLButtonElement,nodeType,11985,g,2,111,chrome-error://chromewebdata/,?
2943,197,HTMLSpanElement.nodeType,HTMLSpanElement,nodeType,11985,g,1,111,chrome-error://chromewebdata/,?
2943,200,HTMLDivElement.nodeType,HTMLDivElement,nodeType,11985,g,15,111,chrome-error://chromewebdata/,?
2943,204,Comment.nodeType,Comment,nodeType,11985,g,15,111,chrome-error://chromewebdata/,?
2943,204,Comment.nodeType,Comment,nodeType,12555,g,15,111,chrome-error://chromewebdata/,?
2943,259,Window.location,Window,location,97192,g,1,111,chrome-error://chromewebdata/,?
2943,259,Window.location,Window,location,97210,g,1,111,chrome-error://chromewebdata/,?
2943,275,Comment.nextSibling,Comment,nextSibling,13441,g,14,111,chrome-error://chromewebdata/,?
2943,275,Comment.nextSibling,Comment,nextSibling,15171,g,18,111,chrome-error://chromewebdata/,?
2943,309,HTMLHeadingElement.nodeType,HTMLHeadingElement,nodeType,11985,g,1,111,chrome-error://chromewebdata/,?
2943,369,Window.trustedTypes,Window,trustedTypes,4135,g,1,111,chrome-error://chromewebdata/,?
2943,369,Window.trustedTypes,Window,trustedTypes,10101,g,1,111,chrome-error://chromewebdata/,?
2943,370,HTMLButtonElement.getAttribute,HTMLButtonElement,getAttribute,12092,c,4,111,chrome-error://chromewebdata/,?
2943,370,HTMLButtonElement.getAttribute,HTMLButtonElement,getAttribute,12092,g,4,111,chrome-error://chromewebdata/,?
2943,504,HTMLDivElement.tagName,HTMLDivElement,tagName,12340,g,15,111,chrome-error://chromewebdata/,?
2943,530,HTMLSpanElement.getAttribute,HTMLSpanElement,getAttribute,12092,c,1,111,chrome-error://chromewebdata/,?
2943,530,HTMLSpanElement.getAttribute,HTMLSpanElement,getAttribute,12092,g,1,111,chrome-error://chromewebdata/,?
2943,536,HTMLDocument.documentElement,HTMLDocument,documentElement,18557,g,1,111,chrome-error://chromewebdata/,?
