instance_id,feature_id,feature_name,receiver_name,member_name,usage_offset,usage_mode,usage_count,script_id,script_url,origin_url
523,127,Window.screen,Window,screen,411803,g,1,543,https://weather.com/,?
523,156,Screen.width,Screen,width,411810,g,1,543,https://weather.com/,?
523,7481,Window.__HeliosConfig,Window,__HeliosConfig,412078,s,1,543,https://weather.com/,?
523,7481,Window.__HeliosConfig,Window,__HeliosConfig,412139,g,1,543,https://weather.com/,?
524,7473,Window.adBlockerOnload,Window,adBlockerOnload,7,g,1,551,https://weather.com/,?
525,7685,Window.webpackChunkms_daybreak_home,Window,webpackChunkms_daybreak_home,53,s,1,513,https://weather.com/daybreak-home/assets/6636.reduxDalClientLoader.1eb9caf820f02da84c52.js,?
525,7685,Window.webpackChunkms_daybreak_home,Window,webpackChunkms_daybreak_home,59,g,1,513,https://weather.com/daybreak-home/assets/6636.reduxDalClientLoader.1eb9caf820f02da84c52.js,?
526,7685,Window.webpackChunkms_daybreak_home,Window,webpackChunkms_daybreak_home,40,s,1,486,https://weather.com/daybreak-home/assets/857.857.7db2112ed0f1f66cdb66.js,?
526,7685,Window.webpackChunkms_daybreak_home,Window,webpackChunkms_daybreak_home,46,g,1,486,https://weather.com/daybreak-home/assets/857.857.7db2112ed0f1f66cdb66.js,?
527,7558,Window.setNptTechAdblockerCookie,Window,setNptTechAdblockerCookie,200,g,1,552,https://weather.com/daybreak-home/assets/peel1.ext.df9c55.js,?
528,59,HTMLDocument.querySelector,HTMLDocument,querySelector,379,c,1,553,https://weather.com/daybreak-home/assets/6202.lodash.73e3a123d61f3a97d8a6.js,?
528,59,HTMLDocument.querySelector,HTMLDocument,querySelector,379,g,1,553,https://weather.com/daybreak-home/assets/6202.lodash.73e3a123d61f3a97d8a6.js,?
528,82,HTMLDocument.createElement,HTMLDocument,createElement,459,g,1,553,https://weather.com/daybreak-home/assets/6202.lodash.73e3a123d61f3a97d8a6.js,?
528,83,HTMLScriptElement.src,HTMLScriptElement,src,513,s,1,553,https://weather.com/daybreak-home/assets/6202.lodash.73e3a123d61f3a97d8a6.js,?
528,170,HTMLScriptElement.onload,HTMLScriptElement,onload,718,s,1,553,https://weather.com/daybreak-home/assets/6202.lodash.73e3a123d61f3a97d8a6.js,?
528,294,HTMLHeadElement.appendChild,HTMLHeadElement,appendChild,1245,g,1,553,https://weather.com/daybreak-home/assets/6202.lodash.73e3a123d61f3a97d8a6.js,?
528,429,HTMLDocument.getElementById,HTMLDocument,getElementById,1094,c,1,553,https://weather.com/daybreak-home/assets/6202.lodash.73e3a123d61f3a97d8a6.js,?
528,429,HTMLDocument.getElementById,HTMLDocument,getElementById,1094,g,1,553,https://weather.com/daybreak-home/assets/6202.lodash.73e3a123d61f3a97d8a6.js,?
528,860,HTMLScriptElement.onerror,HTMLScriptElement,onerror,564,s,1,553,https://weather.com/daybreak-home/assets/6202.lodash.73e3a123d61f3a97d8a6.js,?
528,1012,HTMLScriptElement.async,HTMLScriptElement,async,547,s,1,553,https://weather.com/daybreak-home/assets/6202.lodash.73e3a123d61f3a97d8a6.js,?
528,1725,HTMLScriptElement.type,HTMLScriptElement,type,489,s,1,553,https://weather.com/daybreak-home/assets/6202.lodash.73e3a123d61f3a97d8a6.js,?
528,7685,Window.webpackChunkms_daybreak_home,Window,webpackChunkms_daybreak_home,40,s,1,553,https://weather.com/daybreak-home/assets/6202.lodash.73e3a123d61f3a97d8a6.js,?
528,7685,Window.webpackChunkms_daybreak_home,Window,webpackChunkms_daybreak_home,46,g,1,553,https://weather.com/daybreak-home/assets/6202.lodash.73e3a123d61f3a97d8a6.js,?
528,7718,HTMLScriptElement.readyState,HTMLScriptElement,readyState,272,g,1,553,https://weather.com/daybreak-home/assets/6202.lodash.73e3a123d61f3a97d8a6.js,?
528,7718,HTMLScriptElement.readyState,HTMLScriptElement,readyState,867,g,1,553,https://weather.com/daybreak-home/assets/6202.lodash.73e3a123d61f3a97d8a6.js,?
529,7685,Window.webpackChunkms_daybreak_home,Window,webpackChunkms_daybreak_home,53,s,1,538,https://weather.com/daybreak-home/assets/2194.2194.a6422bd580f7b6e0c3a2.js,?
529,7685,Window.webpackChunkms_daybreak_home,Window,webpackChunkms_daybreak_home,59,g,1,538,https://weather.com/daybreak-home/assets/2194.2194.a6422bd580f7b6e0c3a2.js,?
532,82,HTMLDocument.createElement,HTMLDocument,createElement,886,g,1,539,https://weather.com/,?
532,83,HTMLScriptElement.src,HTMLScriptElement,src,949,s,1,539,https://weather.com/,?
532,234,HTMLDocument.getElementsByTagName,HTMLDocument,getElementsByTagName,907,c,1,539,https://weather.com/,?
