instance_id,feature_id,feature_name,receiver_name,member_name,usage_offset,usage_mode,usage_count,script_id,script_url,origin_url
2515,111,Window.requestAnimationFrame,Window,requestAnimationFrame,18528,g,1,2485,https://s3-media0.fl.yelpcdn.com/assets/public/module_yelp-frontend_shared-d164709870752f6ea2eb583e1e306be1de8037ce.yji-c27309218b5abae998c1.mjs,?
2515,216,Performance.now,Performance,now,212233,g,1,2485,https://s3-media0.fl.yelpcdn.com/assets/public/module_yelp-frontend_shared-d164709870752f6ea2eb583e1e306be1de8037ce.yji-c27309218b5abae998c1.mjs,?
2515,216,Performance.now,Performance,now,223611,g,1,2485,https://s3-media0.fl.yelpcdn.com/assets/public/module_yelp-frontend_shared-d164709870752f6ea2eb583e1e306be1de8037ce.yji-c27309218b5abae998c1.mjs,?
2515,2989,Window.cancelAnimationFrame,Window,cancelAnimationFrame,18545,g,1,2485,https://s3-media0.fl.yelpcdn.com/assets/public/module_yelp-frontend_shared-d164709870752f6ea2eb583e1e306be1de8037ce.yji-c27309218b5abae998c1.mjs,?
2515,3275,Window.__LOADABLE_LOADED_CHUNKS__,Window,__LOADABLE_LOADED_CHUNKS__,38,s,1,2485,https://s3-media0.fl.yelpcdn.com/assets/public/module_yelp-frontend_shared-d164709870752f6ea2eb583e1e306be1de8037ce.yji-c27309218b5abae998c1.mjs,?
2515,3275,Window.__LOADABLE_LOADED_CHUNKS__,Window,__LOADABLE_LOADED_CHUNKS__,50,g,1,2485,https://s3-media0.fl.yelpcdn.com/assets/public/module_yelp-frontend_shared-d164709870752f6ea2eb583e1e306be1de8037ce.yji-c27309218b5abae998c1.mjs,?
2516,3275,Window.__LOADABLE_LOADED_CHUNKS__,Window,__LOADABLE_LOADED_CHUNKS__,38,s,1,2452,https://s3-media0.fl.yelpcdn.com/assets/public/module_yelp-frontend_shared-ae019a7b28520ba1634252b862dc48f48d4fe94b.yji-b260e6970a070bdfea3c.mjs,?
2516,3275,Window.__LOADABLE_LOADED_CHUNKS__,Window,__LOADABLE_LOADED_CHUNKS__,50,g,1,2452,https://s3-media0.fl.yelpcdn.com/assets/public/module_yelp-frontend_shared-ae019a7b28520ba1634252b862dc48f48d4fe94b.yji-b260e6970a070bdfea3c.mjs,?
2517,332,Window.Uint8Array,Window,Uint8Array,250,g,1,2511,https://s3-media0.fl.yelpcdn.com/assets/public/module_yelp-frontend_shared-06766b1f9d349bb7ac13cbe8a0a70d4bb0ff457d.yji-e3e6cd1509d2df68eea4.mjs,?
2517,332,Window.Uint8Array,Window,Uint8Array,10304,g,1,2511,https://s3-media0.fl.yelpcdn.com/assets/public/module_yelp-frontend_shared-06766b1f9d349bb7ac13cbe8a0a70d4bb0ff457d.yji-e3e6cd1509d2df68eea4.mjs,?
2517,402,Window.Uint32Array,Window,Uint32Array,250,g,1,2511,https://s3-media0.fl.yelpcdn.com/assets/public/module_yelp-frontend_shared-06766b1f9d349bb7ac13cbe8a0a70d4bb0ff457d.yji-e3e6cd1509d2df68eea4.mjs,?
2517,402,Window.Uint32Array,Window,Uint32Array,10304,g,1,2511,https://s3-media0.fl.yelpcdn.com/assets/public/module_yelp-frontend_shared-06766b1f9d349bb7ac13cbe8a0a70d4bb0ff457d.yji-e3e6cd1509d2df68eea4.mjs,?
